UUID,category,votes,id
bc111463a0eb82bc7aaac842b74233ce9d84aa3a8c3dbe05a3690d41d035807a7,sponsor,1,152
67cdf0dea09d9399382e12667425216b024d5da304bbbc743bcd1672768042a67,selfpromo,1,153
67cdf0dea09d9399382e12667425216b024d5da304bbbc743bcd1672768042a67,sponsor,1,154
2b99cf50abc6804935c1ad4d54deabc76b150baf628c91ca73ff573a48f5940c7,intro,1,155
2b99cf50abc6804935c1ad4d54deabc76b150baf628c91ca73ff573a48f5940c7,outro,1,156
35b0749cb34b0bfb88afd019b40640b9247bc9153d1bfad8aac83069d90731d67,sponsor,1,157
35b0749cb34b0bfb88afd019b40640b9247bc9153d1bfad8aac83069d90731d67,selfpromo,1,158
a258e3e1f82a5cad4cb6c32a1cc133492f27902edaa10fcb46b0550a119627727,outro,1,160
a258e3e1f82a5cad4cb6c32a1cc133492f27902edaa10fcb46b0550a119627727,intro,2,159
577d9624028c276269822cf44eb1c6cf083030bf8f713e5456efae5ecfd30c1d7,selfpromo,0,177
bda611dba511808c6a687691985ee298968032fd662090e3f9eb0c2c419bd1fa7,sponsor,1,161
bda611dba511808c6a687691985ee298968032fd662090e3f9eb0c2c419bd1fa7,selfpromo,0,162
aedd8c7e0b8f3659c328714ddf747c8882585c791fe2889f90107e1830f2fa407,intro,2,164
aedd8c7e0b8f3659c328714ddf747c8882585c791fe2889f90107e1830f2fa407,outro,0,163
3e6fdb765786e637b6d2f42a17a36c9b6e2aaa4aa54c686ccf3173ce61fafbd27,music_offtopic,1,165
3e6fdb765786e637b6d2f42a17a36c9b6e2aaa4aa54c686ccf3173ce61fafbd27,intro,1,166
2606275e8eb0abfef5c9747fb49e49cb6feaa5de4975adcdc6627746de11c4ed7,sponsor,1,167
e48586a67ceb74d7568103dd79a07a0d5036dd6b9334e8e151f00512acf004337,sponsor,1,178
e48586a67ceb74d7568103dd79a07a0d5036dd6b9334e8e151f00512acf004337,selfpromo,1,179
b3e9d2ad631d7ea3a130d5859d7c843eb07fd2d34dcbaad0f1e74e160d76fa847,sponsor,1,180
b3e9d2ad631d7ea3a130d5859d7c843eb07fd2d34dcbaad0f1e74e160d76fa847,selfpromo,1,181
8e68e977d849b2a7ab883c6eba13e36975d7ffd0d8174977355dd9c4d81780ef7,sponsor,1,182
8e68e977d849b2a7ab883c6eba13e36975d7ffd0d8174977355dd9c4d81780ef7,selfpromo,1,183
1feaa0886fd5f22ae5446fe6d9af9a0e0a936b3d65d79364b02a7b06f59aa1607,sponsor,1,184
